time,x,y
0.04,371,432
0.24,372,432
0.44,372,432
0.64,358,425
0.84,348,420
1.04,348,420
1.24,348,422
1.44,350,423
1.64,351,424
1.84,352,424
2.04,355,424
2.24,358,426
2.44,360,427
2.64,363,428
2.84,366,428
3.04,370,430
3.24,374,431
3.44,378,432
3.64,382,434
3.84,386,435
4.04,389,436
4.24,391,437
4.44,389,436
4.64,384,434
4.84,376,430
5.04,367,427
5.24,361,425
5.44,354,421
5.64,349,420
5.84,349,420
6.04,352,421
6.24,357,423
6.44,362,426
6.64,368,428
6.84,375,431
7.04,381,433
7.24,386,434
7.44,389,436
7.64,392,438
7.84,375,429
8.04,358,429
8.24,349,423
8.44,351,423
8.64,354,426
8.84,358,427
9.04,362,428
9.24,364,429
9.44,367,430
9.64,370,432
9.84,372,433
10.04,375,435
10.24,377,435
10.44,377,436
10.64,368,429
10.84,364,429
11.04,355,424
11.24,355,424
11.44,356,425
11.64,359,426
11.84,362,428
12.04,366,429
12.24,370,431
12.44,376,433
12.64,382,436
12.84,382,437
13.04,378,435
13.24,371,431
13.44,364,428
13.64,359,425
13.84,353,422
14.04,352,421
14.24,353,421
14.44,358,424
14.64,364,427
14.84,369,429
15.04,372,430
15.24,375,432
15.44,379,434
15.64,385,437
15.84,364,437
16.04,339,432
16.24,325,422
16.44,306,397
16.64,294,379
16.84,304,392
17.04,336,429
17.24,353,445
17.44,352,430
17.64,364,428
17.84,368,432
18.04,368,431
18.24,362,427
18.44,351,422
18.64,346,420
18.84,345,417
19.04,348,420
19.24,351,422
19.44,355,424
19.64,357,424
19.84,359,425
20.04,362,426
20.24,365,427
20.44,367,428
20.64,370,430
20.84,374,431
21.04,375,431
21.24,376,431
21.44,374,431
21.64,361,424
21.84,346,421
22.04,346,420
22.24,350,423
22.44,355,425
22.64,359,427
22.84,363,429
23.04,366,430
23.24,370,431
23.44,372,433
23.64,373,433
23.84,366,426
24.04,355,426
24.24,349,422
24.44,345,419
24.64,347,420
24.84,354,424
25.04,364,428
25.24,371,431
25.44,375,433
25.64,378,434
25.84,380,435
26.04,383,436
26.24,380,434
26.44,369,428
26.64,355,422
26.84,348,419
27.04,352,422
27.24,358,423
27.44,364,424
27.64,370,426
27.84,375,429
28.04,379,430
28.24,383,432
28.44,387,433
28.64,390,434
28.84,384,439
29.04,355,433
29.24,330,423
29.44,309,402
29.64,295,391
29.84,289,377
30.04,306,392
30.24,344,423
30.44,364,434
30.64,364,431
30.84,363,428
31.04,358,426
31.24,350,419
31.44,355,420
31.64,359,420
31.84,366,421
32.04,372,424
32.24,376,427
32.44,381,429
32.64,385,431
32.84,384,432
33.04,374,430
33.24,367,426
33.44,360,423
33.64,356,420
33.84,357,419
34.04,362,421
34.24,366,423
34.44,369,425
34.64,374,427
34.84,378,430
35.04,383,432
35.24,386,434
35.44,376,427
35.64,361,427
35.84,353,420
36.04,351,416
36.24,354,417
36.44,357,419
36.64,361,421
36.84,365,422
37.04,369,424
37.24,372,427
37.44,376,429
37.64,379,430
37.84,382,432
38.04,382,431
38.24,368,424
38.44,362,421
38.64,354,418
38.84,355,417
39.04,358,419
39.24,362,421
39.44,366,422
39.64,372,424
39.84,375,427
40.04,379,428
40.24,383,430
40.44,384,429
40.64,374,426
40.84,371,426
41.04,355,419
41.24,352,415
41.44,356,418
41.64,362,420
41.84,368,421
42.04,374,423
42.24,379,426
42.44,382,429
42.64,386,431
42.84,391,432
43.04,391,433
43.24,388,432
43.44,377,427
43.64,365,421
43.84,358,418
44.04,354,415
44.24,351,412
44.44,350,408
44.64,350,413
44.84,355,416
45.04,361,418
45.24,367,422
45.44,371,424
45.64,375,427
45.84,376,428
46.04,371,432
46.24,372,432
46.44,372,432
46.64,358,425
46.84,348,420
47.04,348,420
47.24,348,422
47.44,350,423
47.64,351,424
47.84,352,424
48.04,355,424
48.24,358,426
48.44,360,427
48.64,363,428
48.84,366,428
49.04,370,430
49.24,374,431
49.44,378,432
49.64,382,434
49.84,386,435
50.04,389,436
50.24,391,437
50.44,389,436
50.64,384,434
50.84,376,430
51.04,367,427
51.24,361,425
51.44,354,421
51.64,349,420
51.84,349,420
52.04,352,421
52.24,357,423
52.44,362,426
52.64,368,428
52.84,375,431
53.04,381,433
53.24,386,434
53.44,389,436
53.64,392,438
53.84,375,429
54.04,358,429
54.24,349,423
54.44,351,423
54.64,354,426
54.84,358,427
55.04,362,428
55.24,364,429
55.44,367,430
55.64,370,432
55.84,372,433
56.04,375,435
56.24,377,435
56.44,377,436
56.64,368,429
56.84,364,429
57.04,355,424
57.24,355,424
57.44,356,425
57.64,359,426
57.84,362,428
58.04,366,429
58.24,370,431
58.44,376,433
58.64,382,436
58.84,382,437
59.04,378,435
59.24,371,431
59.44,364,428
59.64,359,425
59.84,353,422
60.04,352,421
60.24,353,421
60.44,358,424
60.64,364,427
60.84,369,429
61.04,372,430
61.24,375,432
61.44,379,434
61.64,385,437
61.84,364,437
62.04,339,432
62.24,325,422
62.44,306,397
62.64,294,379
62.84,304,392
63.04,336,429
63.24,353,445
63.44,352,430
63.64,364,428
63.84,368,432
64.04,368,431
64.24,362,427
64.44,351,422
64.64,346,420
64.84,345,417
65.04,348,420
65.24,351,422
65.44,355,424
65.64,357,424
65.84,359,425
66.04,362,426
66.24,365,427
66.44,367,428
66.64,370,430
66.84,374,431
67.04,375,431
67.24,376,431
67.44,374,431
67.64,361,424
67.84,346,421
68.04,346,420
68.24,350,423
68.44,355,425
68.64,359,427
68.84,363,429
69.04,366,430
69.24,370,431
69.44,372,433
69.64,373,433
69.84,366,426
70.04,355,426
70.24,349,422
70.44,345,419
70.64,347,420
70.84,354,424
71.04,364,428
71.24,371,431
71.44,375,433
71.64,378,434
71.84,380,435
72.04,383,436
72.24,380,434
72.44,369,428
72.64,355,422
72.84,348,419
73.04,352,422
73.24,358,423
73.44,364,424
73.64,370,426
73.84,375,429
74.04,379,430
74.24,383,432
74.44,387,433
74.64,390,434
74.84,384,439
75.04,355,433
75.24,330,423
75.44,309,402
75.64,295,391
75.84,289,377
76.04,306,392
76.24,344,423
76.44,364,434
76.64,364,431
76.84,363,428
77.04,358,426
77.24,350,419
77.44,355,420
77.64,359,420
77.84,366,421
78.04,372,424
78.24,376,427
78.44,381,429
78.64,385,431
78.84,384,432
79.04,374,430
79.24,367,426
79.44,360,423
79.64,356,420
79.84,357,419
80.04,362,421
80.24,366,423
80.44,369,425
80.64,374,427
80.84,378,430
81.04,383,432
81.24,386,434
81.44,376,427
81.64,361,427
81.84,353,420
82.04,351,416
82.24,354,417
82.44,357,419
82.64,361,421
82.84,365,422
83.04,369,424
83.24,372,427
83.44,376,429
83.64,379,430
83.84,382,432
84.04,382,431
84.24,368,424
84.44,362,421
84.64,354,418
