time,x,y
0.04,371,432
0.08,371,432
0.12,371,432
0.16,371,432
0.2,371,432
0.24,372,432
0.28,372,433
0.32,372,433
0.36,372,433
0.4,372,433
0.44,372,432
0.48,370,431
0.52,368,430
0.56,365,429
0.6,361,427
0.64,358,425
0.68,355,424
0.72,352,423
0.76,350,422
0.8,348,421
0.84,348,420
0.88,348,420
0.92,348,420
0.96,348,420
1.0,348,420
1.04,348,420
1.08,348,421
1.12,348,421
1.16,347,421
1.2,348,422
1.24,348,422
1.28,348,423
1.32,349,422
1.36,349,422
1.4,350,423
1.44,350,423
1.48,350,424
1.52,350,424
1.56,351,424
1.6,351,424
1.64,351,424
1.68,351,424
1.72,352,423
1.76,352,423
1.8,353,423
1.84,352,424
1.88,353,423
1.92,354,423
1.96,354,424
2.0,354,424
2.04,355,424
2.08,355,424
2.12,356,425
2.16,356,425
2.2,357,426
2.24,358,426
2.28,359,427
2.32,359,426
2.36,360,426
2.4,360,427
2.44,360,427
2.48,361,427
2.52,362,427
2.56,362,427
2.6,363,428
2.64,363,428
2.68,364,427
2.72,364,428
2.76,365,428
2.8,366,428
2.84,366,428
2.88,367,429
2.92,368,429
2.96,368,429
3.0,369,430
3.04,370,430
3.08,370,430
3.12,371,430
3.16,372,431
3.2,373,431
3.24,374,431
3.28,375,431
3.32,375,431
3.36,376,432
3.4,377,432
3.44,378,432
3.48,379,433
3.52,380,433
3.56,380,433
3.6,382,433
3.64,382,434
3.68,383,434
3.72,384,434
3.76,384,434
3.8,385,435
3.84,386,435
3.88,386,435
3.92,387,435
3.96,388,436
4.0,388,436
4.04,389,436
4.08,390,436
4.12,390,437
4.16,390,436
4.2,391,437
4.24,391,437
4.28,390,437
4.32,390,437
4.36,390,437
4.4,390,437
4.44,389,436
4.48,389,436
4.52,388,436
4.56,387,435
4.6,386,435
4.64,384,434
4.68,382,433
4.72,381,432
4.76,379,432
4.8,378,431
4.84,376,430
4.88,374,429
4.92,372,429
4.96,371,428
5.0,369,427
5.04,367,427
5.08,366,426
5.12,365,426
5.16,363,426
5.2,362,425
5.24,361,425
5.28,360,424
5.32,358,424
5.36,357,423
5.4,356,422
5.44,354,421
5.48,353,421
5.52,351,421
5.56,350,420
5.6,349,420
5.64,349,420
5.68,349,420
5.72,349,420
5.76,349,419
5.8,349,419
5.84,349,420
5.88,350,420
5.92,350,420
5.96,351,420
6.0,352,420
6.04,352,421
6.08,353,421
6.12,354,421
6.16,355,422
6.2,356,422
6.24,357,423
6.28,358,423
6.32,359,424
6.36,360,425
6.4,361,425
6.44,362,426
6.48,364,426
6.52,364,427
6.56,366,427
6.6,367,428
6.64,368,428
6.68,369,429
6.72,371,429
6.76,372,430
6.8,374,430
6.84,375,431
6.88,376,431
6.92,377,432
6.96,379,432
7.0,380,432
7.04,381,433
7.08,382,433
7.12,383,433
7.16,384,434
7.2,385,434
7.24,386,434
7.28,386,435
7.32,387,435
7.36,388,435
7.4,389,435
7.44,389,436
7.48,390,436
7.52,390,436
7.56,391,437
7.6,392,438
7.64,392,438
7.68,392,438
7.72,390,437
7.76,386,435
7.8,380,432
7.84,375,429
7.88,370,427
7.92,366,427
7.96,363,428
8.0,360,430
8.04,358,429
8.08,355,427
8.12,353,427
8.16,351,426
8.2,349,425
8.24,349,423
