date,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 5-24,ILITOTAL,NUM. OF PROVIDERS,OT
2002-01-31,6.8421400000000006,6.06858,3458,4789,12009,4142,986113
2002-02-28,6.09499,5.55026,3374,4589,11998,3693,865798
2002-03-31,7.8040199999999995,6.072150000000001,3527,4637,12279,3638,838680
2002-04-30,11.70575,10.594330000000001,6034,11175,23968,4518,1119791
2002-05-31,11.94453,11.49949,6204,14943,28265,3520,982200
2002-06-30,7.48448,6.42145,3256,6109,13686,3244,844436
2002-07-31,4.969345000000001,4.402881,2219,3136,8097,3482,910826
2002-08-31,2.9042060000000003,2.789726,940,1221,3222,1959,476496
2002-09-30,2.286761,2.70907,660,629,2047,1329,300816
2002-10-31,2.125599,2.716153,556,589,1905,1511,349833
2002-11-30,2.051388,2.5470450000000002,581,555,1777,1131,279025
2002-12-31,3.605372,3.777174,1401,1651,4430,1900,537620
2003-01-31,5.410340000000001,4.6228,4004,5728,14128,3986,1212873
2003-02-28,13.44505,11.55144,9535,17485,37058,4499,1314468
2003-03-31,27.89535,25.191650000000003,23124,34449,84024,4632,1357984
2003-04-30,13.79965,12.033059999999999,10208,10197,33914,5595,1449315
2003-05-31,5.23011,5.10638,5131,5038,14682,3992,1147957
2003-06-30,3.926799,4.007319,3293,3357,10239,3499,1021498
2003-07-31,3.2913140000000003,3.9054089999999997,2709,2665,8258,3694,1055118
2003-08-31,2.496599,3.162671,1710,1663,5053,2244,640708
2003-09-30,3.129201,3.557526,1568,1324,4484,2152,630924
2003-10-31,2.231233,3.117101,1001,915,2924,1492,375104
2003-11-30,2.289129,3.211934,971,1012,3111,1347,393144
2003-12-31,3.4691449999999997,4.716032,1557,1878,5200,1704,551546
2004-01-31,4.478495000000001,4.1295589999999995,4378,5834,15190,4923,1467580
2004-02-29,5.82409,5.39179,5845,7144,19216,5323,1441138
2004-03-31,10.1884,9.22216,8867,9982,29558,6714,1660422
2004-04-30,11.35101,9.97352,9144,14478,38114,5407,1521411
2004-05-31,19.558410000000002,17.50788,14266,31663,72122,5237,1645542
2004-06-30,14.241990000000001,13.52935,12113,18254,48566,5931,1776320
2004-07-31,5.49286,5.39394,4991,6220,16732,3997,1238669
