day,window,efficiency,volatility
1,0,0.62,0.6
1,1,0.83,0.3
1,2,0.57,0.6
1,3,0.41,0.6
1,4,0.8,0.3
1,5,0.49,0.5
1,6,0.83,0.4
1,7,0.68,0.8
1,8,0.85,0.4
1,9,0.93,0.1
1,10,0.86,1.0
1,11,0.63,0.5
1,12,0.86,0.4
1,13,0.82,0.6
1,14,0.78,0.3
1,15,0.67,0.3
1,16,0.8,0.8
1,17,0.64,0.5
1,18,0.29,0.5
1,19,0.76,0.4
1,20,0.65,0.9
1,21,0.57,1.1
1,22,0.91,0.4
1,23,0.44,0.7
1,24,0.0,0.0
1,25,0.0,0.0
1,26,0.0,0.0
1,27,0.0,0.0
1,28,0.0,0.0
1,29,0.0,0.0
1,30,0.67,0.7
1,31,0.51,0.6
1,32,0.77,0.4
1,33,0.16,0.3
1,34,0.63,0.1
1,35,0.74,0.3
1,36,0.73,0.5
1,37,0.72,0.6
1,38,0.46,0.5
1,39,0.58,0.9
1,40,0.66,0.2
1,41,0.86,0.6
1,42,0.68,0.6
1,43,0.8,0.2
1,44,0.39,0.3
1,45,0.47,0.5
1,46,0.5,1.0
1,47,0.62,0.5
2,0,0.65,0.4
2,1,0.68,1.0
2,2,0.66,0.5
2,3,0.4,0.6
2,4,0.54,0.2
2,5,0.92,0.1
2,6,0.69,0.1
2,7,0.58,0.7
2,8,0.53,0.2
2,9,0.74,0.6
2,10,0.59,0.8
2,11,0.7,0.7
2,12,0.61,1.1
2,13,0.86,0.2
2,14,0.92,0.6
2,15,0.65,0.2
2,16,0.73,0.4
2,17,0.41,0.9
2,18,0.67,0.9
2,19,0.94,0.2
2,20,0.44,0.7
2,21,0.72,0.5
2,22,0.64,0.8
2,23,0.82,0.6
2,24,0.11,0.1
2,25,0.0,0.0
2,26,0.0,0.0
2,27,0.0,0.0
2,28,0.0,0.0
2,29,0.0,0.0
2,30,0.54,0.7
2,31,0.47,0.8
2,32,0.96,0.2
2,33,0.78,0.4
2,34,0.58,0.5
2,35,0.23,0.8
2,36,0.66,0.6
2,37,0.26,0.5
2,38,0.72,0.6
2,39,0.51,0.4
2,40,0.78,0.3
2,41,0.84,0.2
2,42,0.76,0.3
2,43,0.79,0.8
2,44,0.84,0.6
2,45,0.74,0.4
2,46,0.28,0.7
2,47,0.58,0.6
3,0,0.94,0.3
3,1,0.63,1.0
3,2,0.42,0.7
3,3,0.44,0.5
3,4,0.74,0.9
3,5,0.4,0.3
3,6,0.3,0.7
3,7,0.87,0.5
3,8,0.7,0.5
3,9,0.69,0.4
3,10,0.19,0.2
3,11,0.83,0.5
3,12,0.55,0.5
3,13,0.99,0.1
3,14,0.71,0.8
3,15,0.7,0.6
3,16,0.79,0.1
3,17,0.63,0.5
3,18,0.82,0.5
3,19,0.84,0.4
3,20,0.54,0.9
3,21,0.95,0.4
3,22,0.98,0.4
3,23,0.18,0.5
3,24,0.0,0.0
3,25,0.0,0.0
3,26,0.0,0.0
3,27,0.0,0.0
3,28,0.0,0.0
3,29,0.0,0.0
3,30,0.92,0.3
3,31,0.71,0.4
3,32,0.73,0.6
3,33,0.73,0.2
3,34,0.5,0.1
3,35,0.28,0.6
3,36,0.76,0.5
3,37,0.61,0.8
3,38,0.71,0.5
3,39,0.48,0.6
3,40,0.75,0.6
3,41,0.6,0.6
3,42,0.84,0.4
3,43,0.59,0.2
3,44,0.97,0.2
3,45,0.27,0.7
3,46,0.63,0.4
3,47,0.89,0.2
4,0,0.6,0.2
4,1,0.46,0.6
4,2,0.63,0.3
4,3,0.2,0.9
4,4,0.49,0.6
4,5,0.57,0.5
4,6,0.64,0.5
4,7,0.46,0.7
4,8,0.78,0.7
4,9,0.8,0.6
4,10,0.56,0.5
4,11,0.8,0.9
4,12,0.87,0.4
4,13,0.95,0.4
4,14,0.67,0.8
4,15,0.71,0.2
4,16,0.62,0.6
4,17,0.84,0.4
4,18,0.81,0.4
4,19,0.79,0.4
4,20,0.39,0.6
4,21,0.63,0.6
4,22,0.74,0.6
4,23,0.46,0.2
4,24,0.24,0.1
4,25,0.0,0.0
4,26,0.0,0.0
4,27,0.0,0.0
4,28,0.0,0.0
4,29,0.0,0.0
4,30,0.69,0.1
4,31,0.8,0.2
4,32,0.78,0.8
4,33,0.13,0.4
4,34,0.26,0.8
4,35,0.59,0.5
4,36,0.9,0.4
4,37,0.88,0.2
4,38,0.58,0.8
4,39,0.49,0.3
4,40,0.78,0.5
4,41,0.26,0.5
4,42,0.66,1.2
4,43,0.42,0.1
4,44,0.85,0.2
4,45,0.53,0.2
4,46,0.88,0.5
4,47,0.39,0.6
5,0,0.64,0.6
5,1,0.87,0.4
5,2,0.71,0.4
5,3,0.92,0.3
5,4,0.75,0.4
5,5,0.76,0.9
5,6,0.48,0.3
5,7,0.53,1.0
5,8,0.69,0.4
5,9,0.42,0.8
5,10,0.63,0.9
5,11,0.76,0.4
5,12,0.82,0.5
5,13,1.0,0.0
5,14,0.39,0.5
5,15,0.7,0.9
5,16,0.94,0.4
5,17,0.99,0.1
5,18,0.89,0.4
5,19,0.51,0.5
5,20,0.4,0.5
5,21,0.68,0.3
5,22,0.55,0.4
5,23,0.58,0.3
5,24,0.26,0.1
5,25,0.0,0.0
5,26,0.0,0.0
5,27,0.0,0.0
5,28,0.0,0.0
5,29,0.0,0.0
5,30,0.77,0.3
5,31,0.22,0.7
5,32,0.46,0.4
5,33,0.92,0.1
5,34,1.0,0.2
5,35,0.71,0.6
5,36,0.83,0.4
5,37,1.0,0.0
5,38,0.64,0.6
5,39,0.51,0.8
5,40,0.72,0.4
5,41,0.85,0.4
5,42,0.68,0.7
5,43,0.8,0.6
5,44,0.57,0.3
5,45,0.5,0.6
5,46,0.32,0.4
5,47,0.54,0.5
6,0,0.56,0.5
6,1,0.7,0.4
6,2,0.64,0.5
6,3,0.29,0.6
6,4,0.7,0.9
6,5,0.75,0.6
6,6,0.57,0.5
6,7,0.86,0.5
6,8,0.79,0.3
